country,value,uncertainty,latitude,longitude,total,average,Access to financial assets,Access to justice,Access to land assets,Access to non-land assets,Child marriage eradication,Female genital mutilation eradication,Freedom of movement,Household responsibilities,Political voice,Violence against women eradication,Workplace rights
Kyrgyzstan,45.7,0.1428571429,38.222,52.8512,505.6,50.56,39.4,37.5,32.6,52.4,90.9,,63.8,51.6,27.7,80.7,29
Kuwait,49.5,0.2857142857,21.3759,28.5774,504.45,63.05625,73.5,82.5,,,94.4,,82.9,50.5,21,61.8,37.85
Chile,45.29,0.2857142857,-15.4489,-63.6693,502.6,62.825,86.6,26.3,,,94.1,,37.7,54.5,66.7,68.7,68
Tajikistan,55.4,0.1428571429,33.4334,47.8597,502.4,50.24,39.4,83.4,29.4,35.6,87.4,,90.4,51.15,25.5,24.9,35.25
Ukraine,53.8,0.2857142857,50.2501,29.0087,501.05,62.63125,80.7,26.2,,,93.5,,59.3,54.65,55.1,68.9,62.7
Venezuela,56.5,0.2857142857,10.4806,-66.9036,499.15,62.39375,79.5,22,,,84.3,,33.2,54.3,74.2,72.1,79.55
Nicaragua,55.9,0.2857142857,22.1364,-80.2514,499.15,62.39375,18.4,58.1,,,77.7,,59.2,45.75,74.8,88,77.2
Türkiye,47.4,0.1428571429,33.9334,22.8597,499.15,49.915,61.7,32,7.4,16.9,95.2,,43.9,51.85,46.5,94,49.7
Myanmar,44.7,0.1428571429,16.3152,50.3661,493.9,49.39,34.9,40.7,48.3,54,87.4,,43.8,44.6,30.1,85.6,24.5
Nigeria,45.8,0,7.0575,-10.0951,493.4,44.85454545,34.8,37.7,11.5,10.7,87.8,85.7,49.3,45.7,24.3,70.7,35.2
Ecuador,39.9,0.2857142857,-0.1807,-70.4678,493,61.625,57.9,32.6,,,84.2,,35.1,51.55,77.2,79.8,74.65
El_Salvador,38.7,0.4285714286,28.6929,-81.2182,482.5,60.3125,23.2,53.1,,,83.7,,57.3,39.4,63,90,72.8
Bolivia,40.14,0.2857142857,-7.0333,-60.2627,475.5,59.4375,62.6,18.6,,,89.3,,41.2,33.4,77.4,77.9,75.1
Iraq,45.5,0.1428571429,28.3152,28.3661,474.95,52.77222222,13.6,55.1,,,81.6,93.1,62.1,43.65,28.5,69,28.3
Azerbaijan,50.71,0.2857142857,42.4093,32.0671,472.45,59.05625,27.7,66.7,,,91.2,,84.2,49.8,37.3,76,39.55
Uzbekistan,43.4,0.2857142857,38.9334,38.8597,466.5,58.3125,38.8,87.5,,,88.1,,81.4,51.75,22.8,60.3,35.85
Burkina_Faso,36.43,0.1428571429,12.6392,-21.525,466,46.6,17,72,31.6,31.1,69.2,56.75,51.8,,37.3,61,38.25
Mexico,45.8,0.2857142857,40.4326,-87.1332,460.05,57.50625,32.7,34.5,,,83.4,,40.6,46.65,76,68.2,78
Luxembourg,47.9,0.6428571429,49.6117,-9.13,459.8,91.96,98.2,80.5,,,99.6,,85.5,,,96,
Mongolia,45.2,0.2857142857,34.8746,63.6121,456,57,99,26.5,,,96.1,,38.7,51.05,50.7,37.1,56.85
Saudi_Arabia,38.9,0.5,14.9454,25.9284,455.2,65.02857143,63.5,76.6,,,96.9,,83,,25.4,79.5,30.3
Vietnam,43.3,0.2857142857,14.0152,60.3661,449.75,56.21875,29.5,87.8,,,92.6,,61.4,37.3,44.8,43.1,53.25
Libya,41.7,0.2857142857,24.8872,-4.1913,447.05,55.88125,59.6,42.8,,,99.1,,49.1,47.65,26.5,88.7,33.6
Côte_d’Ivoire,31.59,0.2857142857,3.8197,-23.4765,439.55,48.83888889,13.8,59.4,25.1,29.5,81.6,71.35,51.1,50.7,,57,
Zambia,39.3,0.2857142857,-6.3875,-1.3228,439.25,48.80555556,21.4,67,26.2,34.7,85.4,,41.6,,50.3,53,59.65
Tunisia,53.8,0.2857142857,26.8065,-11.1815,436.95,54.61875,28.5,49.7,,,99.4,,59.5,42.1,41.5,70.6,45.65
Jordan,39.2,0.1428571429,21.4454,22.9284,434.8,43.48,32,82.7,7.4,11.2,92.4,,83.3,29.55,28.1,37,31.15
Ireland,35.5,0.6428571429,51.3498,-27.2603,431.1,86.22,99.5,68.4,,,99.7,,64.9,,,98.6,
Bangladesh,34.42,0.2857142857,18.8103,60.4125,429.05,53.63125,30.6,88.3,,,67.1,,71.2,26.1,35.9,83,26.85
Morocco,49.1,0.2857142857,27.0209,-26.8416,426.15,53.26875,31.4,45.7,,,91.2,,59.1,41.35,57.2,47.7,52.5
Cambodia,33.12,0.5,10.0152,58.3661,422.8,60.4,31.3,72.6,54.2,61.5,84.4,,64.8,,,54,
Egypt,33.5,0,25.0444,1.2357,421.85,38.35,23,75.3,1.8,4.8,74.3,25.15,84.8,32.7,17,65.3,17.7
Belgium,22.76,0.6428571429,46.8503,-17.3517,418.7,83.74,98.7,64.8,,,97.8,,59.9,,,97.5,
Algeria,43.25,0.2857142857,25.8,-18.0588,417.85,52.23125,31.2,63.1,,,96.7,,47.5,40.25,25.4,75,38.7
Togo,47.9,0.3571428571,8.1375,-14.2125,414.8,51.85,21.5,55.8,9.7,10.5,88.8,95.7,57.8,,,75,
Mozambique,37.6,0.5,-8.9655,10.5892,411.2,58.74285714,30.8,64.3,53.7,74.6,59,,42.8,,,86,
Malta,40.6,0.6428571429,32.3028,-6.4964,411.1,82.22,95.3,48.7,,,99.5,,67.6,,,100,
Israel,42.9,0.6428571429,20.7683,19.2137,410.6,82.12,91.9,64.7,,,97.8,,71.1,,,85.1,
Benin,34.18,0.3571428571,6.4969,2.6289,399.95,49.99375,17.5,69.6,13,15.3,81.5,78.55,53.5,,,71,
Palestinian_Authority,38.1,0.2857142857,25.5886,20.4955,399.8,49.975,25.5,46.4,,,92.1,,59.2,37.8,19.2,84.3,35.3
Malawi,38.8,0.5,-1.9783,10.7741,389,55.57142857,16.9,55.2,57.7,59.1,79.1,,39.9,,,81.1,
Niger,39.7,0.3571428571,17.5128,-16.1128,387.8,48.475,7.7,75.3,36.2,39.2,34.2,90.2,59,,,46,
Yemen,36.4,0.1428571429,9.3694,29.191,384.55,42.72777778,1.7,47.7,,,82.9,78.45,43.9,29.65,13.8,63.3,23.15
Cameroon,33.77,0.3571428571,4.848,-5.5021,380.45,47.55625,20.3,49.9,10.9,13.6,81.4,91.35,41,,,72,
Lebanon,41.9,0.2857142857,28.5886,23.4955,379.55,47.44375,16.6,15.5,,,97.4,,41,51.05,53.6,53.4,51
Comoros,26.79,0.5,4.711,18.5079,375.5,53.64285714,17.9,31.2,58.5,66.5,83.6,,60.8,,,57,
Namibia,45.8,0.5,-11.5597,-7.0836,374,53.42857143,62.4,54.4,21.3,30.9,96.5,,36.5,,,72,
Burundi,26.78,0.5,-7.026,3.9305,369.9,52.84285714,6.5,60.4,52.2,56.3,94.1,,63.4,,,37,
Sri_Lanka,47.8,0.6428571429,6.9271,44.9782,363.8,72.76,89.2,76.2,,,94,,58.4,,,46,
Jamaica,29.2,0.6428571429,21.997,-70.7936,360.9,72.18,71.6,45.9,,,96.6,,63.8,,,83,
